GEOID,year,median_rent,population,poverty_total,poverty_below,race_total,race_white,race_black,race_native,race_asian,race_pi,race_other,race_mixed,education_no_diploma,education_high_school,education_associates,education_bachelors,education_masters,education_professional,education_doctorate
20000019000,2013,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20000019001,2013,343100.0,1446.0,509.0,124.0,1446.0,553.0,239.0,0.0,24.0,0.0,590.0,40.0,208.0,338.0,26.0,145.0,66.0,19.0,5.0
20000019002,2013,,112.0,21.0,14.0,112.0,86.0,26.0,0.0,0.0,0.0,0.0,0.0,14.0,29.0,0.0,0.0,0.0,0.0,0.0
20000019003,2013,368800.0,1004.0,301.0,151.0,1004.0,356.0,389.0,0.0,10.0,0.0,231.0,18.0,237.0,395.0,35.0,34.0,8.0,0.0,0.0
20000019004,2013,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20000019005,2013,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20000020001,2013,354300.0,906.0,267.0,79.0,906.0,110.0,276.0,89.0,0.0,0.0,223.0,208.0,76.0,446.0,83.0,36.0,55.0,0.0,0.0
20000020002,2013,383800.0,1718.0,632.0,210.0,1718.0,452.0,440.0,0.0,117.0,0.0,662.0,47.0,443.0,337.0,69.0,112.0,39.0,0.0,11.0
20000020003,2013,,2649.0,905.0,532.0,2649.0,654.0,1203.0,48.0,80.0,0.0,632.0,32.0,724.0,558.0,133.0,87.0,0.0,0.0,0.0
20000020004,2013,,1588.0,546.0,171.0,1588.0,134.0,532.0,0.0,0.0,0.0,922.0,0.0,198.0,508.0,34.0,82.0,0.0,0.0,0.0
20000020005,2013,,766.0,335.0,136.0,766.0,132.0,464.0,0.0,0.0,0.0,170.0,0.0,157.0,170.0,32.0,34.0,31.0,0.0,0.0
20000020006,2013,386000.0,829.0,295.0,148.0,829.0,128.0,416.0,0.0,0.0,0.0,285.0,0.0,141.0,227.0,77.0,107.0,63.0,0.0,0.0
20000023001,2013,,2274.0,1000.0,624.0,2274.0,630.0,1201.0,18.0,0.0,0.0,405.0,20.0,807.0,664.0,45.0,23.0,0.0,13.0,0.0
20000023002,2013,,733.0,263.0,80.0,733.0,213.0,382.0,14.0,0.0,0.0,118.0,6.0,147.0,153.0,22.0,12.0,1.0,0.0,0.0
20000023003,2013,,1665.0,572.0,295.0,1665.0,541.0,441.0,22.0,0.0,0.0,601.0,60.0,390.0,447.0,40.0,80.0,0.0,0.0,5.0
20000024000,2013,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20000024001,2013,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20000025001,2013,,886.0,267.0,176.0,886.0,565.0,66.0,0.0,0.0,0.0,255.0,0.0,302.0,143.0,0.0,24.0,0.0,0.0,0.0
20000025002,2013,,1589.0,564.0,310.0,1589.0,361.0,495.0,0.0,0.0,0.0,620.0,113.0,309.0,406.0,26.0,51.0,21.0,19.0,0.0
20000025003,2013,,1341.0,478.0,308.0,1341.0,310.0,267.0,0.0,195.0,0.0,569.0,0.0,450.0,312.0,21.0,0.0,0.0,0.0,0.0
20000025004,2013,,780.0,271.0,119.0,780.0,361.0,168.0,0.0,0.0,0.0,220.0,31.0,244.0,136.0,16.0,19.0,0.0,0.0,0.0
20000025005,2013,,512.0,234.0,144.0,512.0,224.0,108.0,0.0,91.0,0.0,76.0,13.0,101.0,185.0,28.0,0.0,7.0,0.0,0.0
20000027011,2013,,1665.0,565.0,240.0,1665.0,571.0,799.0,0.0,0.0,0.0,233.0,62.0,346.0,464.0,13.0,126.0,29.0,0.0,0.0
20000027012,2013,,1507.0,494.0,251.0,1507.0,356.0,683.0,0.0,0.0,0.0,458.0,10.0,455.0,300.0,13.0,27.0,5.0,0.0,23.0
20000027021,2013,,1551.0,511.0,187.0,1551.0,295.0,929.0,0.0,0.0,0.0,291.0,36.0,379.0,384.0,89.0,110.0,0.0,0.0,0.0
20000027022,2013,,926.0,130.0,44.0,926.0,221.0,149.0,0.0,0.0,0.0,517.0,39.0,279.0,103.0,36.0,0.0,0.0,0.0,0.0
20000027023,2013,,1484.0,441.0,270.0,1484.0,599.0,314.0,0.0,0.0,0.0,494.0,77.0,377.0,266.0,53.0,0.0,0.0,0.0,0.0
20000027024,2013,,762.0,298.0,164.0,762.0,163.0,385.0,19.0,0.0,0.0,195.0,0.0,155.0,140.0,21.0,39.0,0.0,0.0,0.0
20000028000,2013,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20000028001,2013,406800.0,1504.0,621.0,43.0,1504.0,186.0,800.0,0.0,0.0,0.0,405.0,113.0,292.0,386.0,186.0,154.0,108.0,0.0,0.0
20000028002,2013,208300.0,1623.0,626.0,45.0,1623.0,42.0,1164.0,0.0,27.0,0.0,288.0,102.0,77.0,749.0,109.0,221.0,73.0,0.0,0.0
20000028003,2013,,1345.0,597.0,64.0,1345.0,0.0,1110.0,0.0,0.0,0.0,208.0,27.0,97.0,452.0,212.0,53.0,84.0,0.0,0.0
20000028004,2013,,1332.0,496.0,27.0,1332.0,48.0,976.0,0.0,0.0,0.0,292.0,16.0,91.0,568.0,134.0,90.0,0.0,0.0,0.0
20000031001,2013,52900.0,1272.0,478.0,113.0,1272.0,287.0,588.0,0.0,21.0,0.0,374.0,2.0,284.0,270.0,64.0,122.0,0.0,0.0,0.0
20000033001,2013,290000.0,559.0,140.0,17.0,559.0,132.0,139.0,0.0,0.0,0.0,288.0,0.0,134.0,169.0,22.0,54.0,0.0,10.0,0.0
20000033002,2013,429200.0,1848.0,476.0,253.0,1848.0,371.0,995.0,0.0,0.0,0.0,460.0,22.0,401.0,300.0,46.0,73.0,56.0,0.0,0.0
20000033003,2013,,1578.0,540.0,302.0,1578.0,722.0,495.0,0.0,0.0,0.0,347.0,14.0,435.0,396.0,9.0,39.0,0.0,0.0,0.0
20000035001,2013,,765.0,296.0,102.0,765.0,129.0,177.0,0.0,0.0,0.0,375.0,84.0,93.0,236.0,31.0,49.0,22.0,0.0,0.0
20000035002,2013,,1621.0,579.0,273.0,1621.0,146.0,886.0,0.0,0.0,0.0,499.0,90.0,545.0,369.0,19.0,0.0,0.0,0.0,0.0
20000035003,2013,405600.0,1390.0,414.0,103.0,1390.0,239.0,158.0,0.0,0.0,0.0,936.0,57.0,306.0,360.0,26.0,71.0,16.0,0.0,0.0
20000037001,2013,,242.0,100.0,36.0,242.0,68.0,54.0,0.0,0.0,0.0,120.0,0.0,26.0,135.0,11.0,0.0,0.0,0.0,0.0
